task_id,user_id,title,priority,targetDate,completed
1,1,Tie Shoes,3,2021-11-30,true
2,1,Use the visual EXE spyware,1,2020-12-30,true
20,2,Synthesize the ethernet hard drive,9,2021-01-05,true
4,4,Index the SQL firewall,2,2021-03-05,false
5,3,Compress the primary circuit!,5,2021-12-03,false
6,3,Use the auxiliary AI malware,1,2021-04-17,true
7,3,Index the lone-wolf pixel!,8,2021-11-05,false
8,2,Attach the visual GB monitors,7,2020-12-23,false
9,1,Navigate the 1080p PCI bus,5,2021-02-05,true
100,2,Power down SSL panel,6,2021-08-02,true
11,4,Quantify and network the 1080p transmitter,4,2021-09-01,false
12,6,Encode and reboot the analog driver!,3,2020-12-09,false
